,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
172,mount isa,-20.7333,139.5,56.97,51,4,4.61,AU,clear sky
173,harrison,30.4091,-89.0436,84.27,52,1,6.91,US,clear sky
174,whitehorse,60.7161,-135.0538,57.31,41,100,15.01,CA,overcast clouds
175,aswan,24.0934,32.907,91.87,9,88,8.88,EG,overcast clouds
176,olafsvik,64.8945,-23.7142,42.85,81,92,10.47,IS,overcast clouds
177,simbahan,6.3032,120.5836,83.07,79,100,10.67,PH,overcast clouds
178,bethel,41.3712,-73.414,50.36,91,100,3.0,US,overcast clouds
179,gunnedah,-30.9833,150.25,46.02,84,0,4.0,AU,clear sky
180,pahrump,36.2083,-115.9839,97.52,8,13,5.99,US,few clouds
181,erzin,36.9559,36.2,70.0,83,1,2.04,TR,clear sky
182,kodiak,57.79,-152.4072,51.31,71,90,10.36,US,overcast clouds
183,orange cove,36.6244,-119.3137,94.84,15,1,4.54,US,clear sky
184,katsuura,35.1333,140.3,68.14,71,7,14.09,JP,clear sky
185,sioux lookout,50.1001,-91.917,68.38,48,40,8.05,CA,scattered clouds
186,codrington,-38.2667,141.9667,39.11,67,2,9.62,AU,clear sky
187,black forest,39.0131,-104.7008,50.0,97,90,7.81,US,moderate rain
188,surab,28.4914,66.2585,71.82,13,0,3.56,PK,clear sky
189,trairi,-3.2778,-39.2689,77.76,81,3,8.41,BR,clear sky
190,najran,17.4924,44.1277,78.31,16,9,2.39,SA,clear sky
191,shu,43.5983,73.7614,63.52,72,28,7.58,KZ,scattered clouds
192,arlit,18.7369,7.3853,93.78,7,92,12.53,NE,overcast clouds
193,coaticook,45.1334,-71.7991,49.77,90,100,6.06,CA,overcast clouds
194,agutaya,11.148,120.9417,83.39,76,100,3.09,PH,overcast clouds
195,taltal,-25.4,-70.4833,63.66,79,23,6.02,CL,few clouds
196,kurilsk,45.2333,147.8833,37.81,96,100,18.1,RU,overcast clouds
197,bolshaya martynovka,47.271,41.6679,65.64,97,10,10.36,RU,clear sky
198,christchurch,-43.5333,172.6333,51.01,96,75,8.99,NZ,light rain
199,yulara,-25.2406,130.9889,51.64,46,90,6.91,AU,overcast clouds
200,meridian,43.6121,-116.3915,83.32,22,1,1.01,US,clear sky
201,ballina,-28.8667,153.5667,55.94,77,85,12.17,AU,overcast clouds
202,buchanan,5.8808,-10.0467,75.16,87,99,6.51,LR,moderate rain
