City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
101,Wanning,CN,2021-05-24 19:44:36,18.8003,110.3967,81.41,88,100,5.75
102,Satuk,TR,2021-05-24 19:46:46,41.2263,32.3836,54.63,55,51,0.25
103,Los Llanos De Aridane,ES,2021-05-24 19:46:36,28.6585,-17.9182,65.12,68,75,17.13
104,Dunedin,NZ,2021-05-24 19:46:46,-45.8742,170.5036,43.81,70,5,1.99
105,Lyubymivka,UA,2021-05-24 19:46:47,46.8106,33.5686,56.71,83,100,16.73
106,Bowen,AU,2021-05-24 19:46:47,-20.0167,148.2333,66.42,73,69,10.89
107,Arraial Do Cabo,BR,2021-05-24 19:46:47,-22.9661,-42.0278,75.06,60,75,6.91
108,Ilulissat,GL,2021-05-24 19:46:48,69.2167,-51.1,44.62,33,20,18.41
109,Lasa,IT,2021-05-24 19:46:48,46.6166,10.7002,50.88,100,100,0.49
110,Manavalakurichi,IN,2021-05-24 19:46:48,8.1333,77.3,86.09,85,100,11.34
111,Tautira,PF,2021-05-24 19:46:49,-17.7333,-149.15,84.22,79,86,11.59
112,Fairbanks,US,2021-05-24 19:45:57,64.8378,-147.7164,65.39,35,1,8.05
113,Ambilobe,MG,2021-05-24 19:46:49,-13.2,49.05,72.25,82,99,2.46
114,Sorland,NO,2021-05-24 19:44:40,67.667,12.6934,46.47,74,33,16.87
115,Stokmarknes,NO,2021-05-24 19:46:49,68.5646,14.9108,48.49,66,26,7.74
116,Cherskiy,RU,2021-05-24 19:43:55,68.75,161.3,46.22,49,3,11.65
117,Belyy Yar,RU,2021-05-24 19:46:50,53.6039,91.3903,53.49,93,40,4.72
118,North Platte,US,2021-05-24 19:46:50,41.1239,-100.7654,66.99,90,90,1.99
119,Bar Harbor,US,2021-05-24 19:46:50,44.3876,-68.2039,64.89,39,1,18.01
120,Sukhobezvodnoye,RU,2021-05-24 19:43:21,57.0491,44.8891,52.11,75,92,2.59
121,Labuhan,ID,2021-05-24 19:46:51,-6.8844,112.2051,77.02,88,32,6.4
122,Tasiilaq,GL,2021-05-24 19:46:51,65.6145,-37.6368,37.56,84,100,37.18
123,Hobart,AU,2021-05-24 19:46:51,-42.8794,147.3294,56.26,82,99,3.0
124,Thompson,CA,2021-05-24 19:45:15,55.7435,-97.8558,51.96,87,90,6.91
125,Krasnoselkup,RU,2021-05-24 19:46:52,65.7,82.4667,30.6,74,7,16.31
126,Buala,SB,2021-05-24 19:46:52,-8.145,159.5921,78.96,80,99,2.91
127,Hambantota,LK,2021-05-24 19:46:52,6.1241,81.1185,80.11,86,100,22.48
128,Abalak,RU,2021-05-24 19:46:53,58.1286,68.5944,68.13,67,100,8.95
129,Svetlaya,RU,2021-05-24 19:46:53,46.5389,138.3297,46.45,97,100,7.31
130,Bredasdorp,ZA,2021-05-24 19:44:04,-34.5322,20.0403,54.72,86,100,4.79
131,Zhireken,RU,2021-05-24 19:46:53,52.8249,117.3076,30.25,92,87,3.71
132,San Cristobal,VE,2021-05-24 19:42:21,7.7669,-72.225,77.18,94,100,5.32
133,Ostrovnoy,RU,2021-05-24 19:46:54,68.0531,39.5131,33.71,84,96,14.41
134,Kamaishi,JP,2021-05-24 19:46:54,39.2667,141.8833,60.98,83,100,4.72
135,Bontang,ID,2021-05-24 19:46:54,0.1333,117.5,78.87,87,97,4.56
136,Predivinsk,RU,2021-05-24 19:46:55,57.0669,93.4378,49.44,92,38,7.83
137,Jiuquan,CN,2021-05-24 19:46:55,39.7432,98.5174,59.76,15,100,4.81
138,Tessalit,ML,2021-05-24 19:46:55,20.1986,1.0114,102.16,11,74,1.45
139,Winnemucca,US,2021-05-24 19:45:48,40.973,-117.7357,66.25,28,20,12.64
140,Natal,BR,2021-05-24 19:46:17,-5.795,-35.2094,84.85,75,40,11.03
141,East London,ZA,2021-05-24 19:46:56,-33.0153,27.9116,75.56,36,100,10.09
142,Jamestown,US,2021-05-24 19:42:00,42.097,-79.2353,75.02,61,90,5.99
143,Alofi,NU,2021-05-24 19:46:56,-19.0595,-169.9187,73.29,100,53,1.14
144,Muros,ES,2021-05-24 19:46:57,42.7762,-9.0603,60.24,78,31,10.0
145,Mount Gambier,AU,2021-05-24 19:46:57,-37.8333,140.7667,66.11,45,100,19.57
146,Christchurch,NZ,2021-05-24 19:42:16,-43.5333,172.6333,39.81,94,20,0.0
147,Severo-Kurilsk,RU,2021-05-24 19:46:57,50.6789,156.125,39.9,76,99,14.16
148,Ahipara,NZ,2021-05-24 19:46:58,-35.1667,173.1667,55.96,72,100,12.48
149,Warri,NG,2021-05-24 19:46:58,5.5167,5.75,78.85,89,99,6.33
150,Cockburn Town,TC,2021-05-24 19:46:58,21.4612,-71.1419,82.36,69,40,13.8
151,Lorengau,PG,2021-05-24 19:44:43,-2.0226,147.2712,81.34,81,100,13.31
152,Cabo San Lucas,MX,2021-05-24 19:42:31,22.8909,-109.9124,93.81,61,0,7.34
153,Kapaa,US,2021-05-24 19:43:47,22.0752,-159.319,81.48,67,40,1.99
154,Vila Franca Do Campo,PT,2021-05-24 19:46:59,37.7167,-25.4333,64.81,67,100,4.94
155,Salvador,SV,2021-05-24 19:44:54,13.8333,-88.9167,87.04,39,95,2.91
156,Morales,CO,2021-05-24 19:46:59,2.757,-76.6172,72.48,76,88,4.59
157,Valreas,FR,2021-05-24 19:47:00,44.3837,4.9908,61.92,71,62,2.39
158,Bethel,US,2021-05-24 19:47:00,41.3712,-73.414,70.43,53,75,6.91
159,Nanortalik,GL,2021-05-24 19:43:42,60.1432,-45.2371,35.44,97,100,12.84
160,Bokoro,TD,2021-05-24 19:47:00,12.3807,17.0568,93.52,9,23,8.05
161,San Patricio,US,2021-05-24 19:47:01,28.017,-97.5169,86.72,67,48,17.34
162,Sao Joao Da Barra,BR,2021-05-24 19:47:01,-21.6403,-41.0511,78.89,69,100,16.04
163,Kaitangata,NZ,2021-05-24 19:44:20,-46.2817,169.8464,38.93,88,5,4.65
164,Orchard Homes,US,2021-05-24 19:47:01,46.8633,-114.0484,53.74,51,90,1.01
165,Puerto Escondido,MX,2021-05-24 19:47:02,15.85,-97.0667,89.2,58,57,9.82
166,College,US,2021-05-24 19:47:02,64.8569,-147.8028,64.22,34,1,6.91
167,Talnakh,RU,2021-05-24 19:47:02,69.4865,88.3972,28.6,92,100,19.6
168,Ulaangom,MN,2021-05-24 19:47:03,49.9811,92.0667,55.45,58,1,0.38
169,Buin,CL,2021-05-24 19:47:03,-33.7333,-70.75,74.08,20,0,2.04
170,Concepcion Del Oro,MX,2021-05-24 19:47:04,24.6333,-101.4167,77.67,26,1,4.23
171,Andenes,NO,2021-05-24 19:47:04,69.3143,16.1194,42.78,65,0,19.57
172,Luwuk,ID,2021-05-24 19:47:04,-0.9516,122.7875,76.86,88,91,5.55
173,Kavieng,PG,2021-05-24 19:47:05,-2.5744,150.7967,81.43,76,98,3.2
174,Verkhnyaya Toyma,RU,2021-05-24 19:47:05,62.2349,44.9985,52.54,89,100,10.27
175,Bulawayo,ZW,2021-05-24 19:47:05,-20.15,28.5833,51.1,69,0,8.37
176,Broome,US,2021-05-24 19:47:06,42.2506,-75.833,75.06,50,1,1.99
177,Omboue,GA,2021-05-24 19:47:06,-1.5746,9.2618,77.88,92,100,6.38
178,Kapoeta,SS,2021-05-24 19:47:06,4.7717,33.5903,75.29,73,22,5.44
179,Qitaihe,CN,2021-05-24 19:47:07,45.8,130.85,42.42,79,41,4.79
180,Wajima,JP,2021-05-24 19:47:07,37.4,136.9,60.82,93,100,14.03
181,Bathsheba,BB,2021-05-24 19:43:41,13.2167,-59.5167,86.61,69,40,16.24
182,Kouango,CF,2021-05-24 19:47:07,4.9934,19.9619,76.48,77,52,0.98
183,Labytnangi,RU,2021-05-24 19:47:08,66.6572,66.4183,36.5,53,100,5.55
184,Kamyshin,RU,2021-05-24 19:47:08,50.0983,45.416,61.79,85,96,8.9
185,Ugoofaaru,MV,2021-05-24 19:47:08,5.6667,73.0,83.75,75,100,23.0
186,Dharchula,IN,2021-05-24 19:47:09,29.85,80.5333,67.21,54,0,6.89
187,Faanui,PF,2021-05-24 19:47:09,-16.4833,-151.75,81.54,75,93,11.07
188,Muskegon,US,2021-05-24 19:47:09,43.3,-86.1334,84.22,63,75,9.13
189,Ribeira Grande,PT,2021-05-24 19:47:09,38.5167,-28.7,64.8,68,20,14.97
190,Abu Kamal,SY,2021-05-24 19:47:10,34.4506,40.9171,75.31,36,27,7.18
191,Kangaatsiaq,GL,2021-05-24 19:47:10,68.3065,-53.4641,43.25,38,100,31.25
192,Kardla,EE,2021-05-24 19:47:11,58.9978,22.7492,50.05,95,28,5.01
193,Hithadhoo,MV,2021-05-24 19:47:11,-0.6,73.0833,84.34,69,100,15.86
194,Nikolskoye,RU,2021-05-24 19:47:11,59.7035,30.7861,51.69,86,5,4.63
195,Kiama,AU,2021-05-24 19:47:11,-34.6833,150.8667,61.57,80,99,7.0
196,Skelleftea,SE,2021-05-24 19:47:12,64.7507,20.9528,43.16,97,90,4.05
197,Isiro,CD,2021-05-24 19:47:12,2.7739,27.616,68.34,90,100,2.59
198,Naze,JP,2021-05-24 19:47:12,28.3667,129.4833,69.67,79,77,6.08
199,Billings,US,2021-05-24 19:46:01,45.7833,-108.5007,66.29,29,75,25.32
200,Puerto Madero,MX,2021-05-24 19:47:13,14.7208,-92.4215,86.52,64,97,7.0
201,Saint George,US,2021-05-24 19:47:13,37.1041,-113.5841,79.63,18,1,3.0
202,Juegang,CN,2021-05-24 19:47:13,32.3174,121.1855,67.32,83,100,12.62
203,San Policarpo,PH,2021-05-24 19:47:14,12.1791,125.5072,79.29,87,86,4.63
204,Qasigiannguit,GL,2021-05-24 19:47:14,68.8193,-51.1922,44.85,45,100,20.83
205,Henties Bay,NA,2021-05-24 19:47:15,-22.116,14.2845,73.85,56,6,8.03
206,Krosno,PL,2021-05-24 19:47:15,49.6887,21.7706,58.62,74,100,8.46
207,Morondava,MG,2021-05-24 19:47:15,-20.2833,44.2833,70.5,82,0,7.85
208,Malaya Serdoba,RU,2021-05-24 19:47:15,52.4661,44.9512,56.71,89,100,3.51
209,Eydhafushi,MV,2021-05-24 19:47:16,5.1033,73.0708,84.22,74,100,22.93
210,Biloela,AU,2021-05-24 19:47:16,-24.4167,150.5,55.24,91,0,7.38
211,Honiara,SB,2021-05-24 19:44:41,-9.4333,159.95,77.34,87,99,3.09
212,Sitka,US,2021-05-24 19:47:16,57.0531,-135.33,48.09,71,90,9.22
213,Palmas De Monte Alto,BR,2021-05-24 19:47:17,-14.2672,-43.1619,88.9,26,85,1.72
214,Abu Samrah,SY,2021-05-24 19:47:17,35.3029,37.1841,72.0,45,0,8.1
215,Beloha,MG,2021-05-24 19:47:17,-25.1667,45.05,63.55,92,1,3.91
216,Laguna,US,2021-05-24 19:47:18,38.421,-121.4238,86.61,37,1,3.0
217,Ulverstone,AU,2021-05-24 19:47:18,-41.15,146.1667,55.22,92,100,7.72
218,Leningradskiy,RU,2021-05-24 19:47:18,69.3833,178.4167,31.8,88,100,9.37
219,Komsomolskiy,UZ,2021-05-24 19:47:18,40.4272,71.7189,72.32,37,100,9.22
220,Ferrol,ES,2021-05-24 19:47:19,43.4832,-8.2369,57.72,80,86,8.34
221,Hobyo,SO,2021-05-24 19:47:19,5.3505,48.5268,79.92,72,95,19.98
222,Touros,BR,2021-05-24 19:43:52,-5.1989,-35.4608,85.1,76,99,14.43
223,Hasaki,JP,2021-05-24 19:47:19,35.7333,140.8333,62.89,84,25,9.4
224,Kayes,ML,2021-05-24 19:47:20,14.0,-11.0,100.63,14,75,4.59
225,Chulman,RU,2021-05-24 19:47:20,56.8479,124.9104,35.71,98,100,1.86
226,Ambon,ID,2021-05-24 19:47:20,-3.6954,128.1814,79.72,82,100,6.38
227,Namibe,AO,2021-05-24 19:47:21,-15.1961,12.1522,74.08,70,20,7.14
228,Guerrero Negro,MX,2021-05-24 19:47:21,27.9769,-114.0611,75.18,47,1,10.98
229,Kapit,MY,2021-05-24 19:47:21,2.0167,112.9333,72.55,100,100,1.19
230,Kruisfontein,ZA,2021-05-24 19:47:22,-34.0033,24.7314,67.89,66,100,7.47
231,Souillac,MU,2021-05-24 19:47:22,-20.5167,57.5167,73.78,75,75,13.73
232,Rehoboth,NA,2021-05-24 19:47:22,-23.3167,17.0833,62.04,33,20,5.03
233,Ferkessedougou,CI,2021-05-24 19:47:23,9.6,-5.2,82.89,61,73,2.84
234,Airai,TL,2021-05-24 19:47:23,-8.9266,125.4092,55.9,85,7,2.68
235,Torbay,CA,2021-05-24 19:44:16,47.6666,-52.7314,37.58,71,90,19.57
236,Ocampo,MX,2021-05-24 19:47:23,21.65,-101.5,81.28,24,3,7.58
237,Russell,US,2021-05-24 19:45:16,32.3502,-85.1999,91.0,27,48,1.05
238,Kodiak,US,2021-05-24 19:47:24,57.79,-152.4072,51.31,66,1,6.91
239,Yerbogachen,RU,2021-05-24 19:47:24,61.2767,108.0108,40.17,51,90,6.02
240,Stettler,CA,2021-05-24 19:47:24,52.3168,-112.7186,51.64,100,100,20.71
241,Grindavik,IS,2021-05-24 19:46:48,63.8424,-22.4338,48.67,72,75,14.32
242,Nouadhibou,MR,2021-05-24 19:47:25,20.931,-17.0347,67.98,73,0,25.32
243,Erenhot,CN,2021-05-24 19:45:37,43.6475,111.9767,47.28,48,100,3.71
244,Sosnovka,RU,2021-05-24 19:47:25,56.255,51.2842,59.7,76,100,4.16
245,Pangnirtung,CA,2021-05-24 19:47:26,66.1451,-65.7125,26.6,68,75,11.5
246,Bud,US,2021-05-24 19:47:26,39.447,-86.1758,89.04,49,97,9.26
247,Tommot,RU,2021-05-24 19:47:26,58.9564,126.2925,39.45,98,100,2.19
248,Huarmey,PE,2021-05-24 19:47:27,-10.0681,-78.1522,69.53,78,39,7.7
249,Marawi,PH,2021-05-24 19:47:27,7.9986,124.2928,69.66,93,65,1.5
250,Arawa,PG,2021-05-24 19:47:27,-6.2132,155.5367,76.53,91,95,4.41
251,Bilma,NE,2021-05-24 19:47:27,18.6853,12.9164,92.93,8,0,9.33
252,Victoria,HK,2021-05-24 19:45:16,22.2855,114.1577,84.33,87,71,1.01
253,Karratha,AU,2021-05-24 19:47:28,-20.7377,116.8463,69.46,40,59,14.43
254,Petropavlovka,RU,2021-05-24 19:47:28,50.6114,105.3196,46.92,82,99,4.47
255,Kimparana,ML,2021-05-24 19:45:22,12.8347,-4.9244,92.35,33,90,9.08
256,Rabo De Peixe,PT,2021-05-24 19:47:29,37.8,-25.5833,63.91,66,40,4.94
257,Berezivka,UA,2021-05-24 19:47:29,47.2043,30.9078,54.09,84,3,10.8
258,Mayskiy,RU,2021-05-24 19:47:29,47.6931,40.1025,65.44,95,63,5.95
259,Hamilton,US,2021-05-24 19:45:59,39.1834,-84.5333,90.09,42,1,1.01
260,Grand-Santi,GF,2021-05-24 19:47:30,4.25,-54.3833,76.6,98,100,4.23
261,San Carlos,VE,2021-05-24 19:47:30,9.6612,-68.5827,83.28,75,100,1.9
262,Mercedes,AR,2021-05-24 19:47:30,-34.6515,-59.4307,64.04,65,0,11.99
263,Kassala,SD,2021-05-24 19:47:31,15.451,36.4,95.65,12,9,8.3
264,College Place,US,2021-05-24 19:47:31,46.0493,-118.3883,72.0,55,96,8.01
265,Dauphin,CA,2021-05-24 19:47:31,51.1494,-100.0502,73.54,38,20,23.02
266,Sinnar,SD,2021-05-24 19:47:32,13.5691,33.5672,95.76,10,7,8.12
267,Antofagasta,CL,2021-05-24 19:47:32,-23.65,-70.4,69.22,53,100,4.97
268,Paamiut,GL,2021-05-24 19:47:32,61.994,-49.6678,32.02,95,100,27.47
269,Avera,US,2021-05-24 19:47:17,33.194,-82.5271,93.7,31,10,3.15
270,Sakakah,SA,2021-05-24 19:47:33,29.9697,40.2064,80.17,24,0,10.16
